,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
149,"jealousy, jealousy","Olivia Rodrigo",99181,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
150,"favorite crime","Olivia Rodrigo",98643,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
151,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",Bizarrap,98632,https://open.spotify.com/track/3ke6it1vTmHtz2ApcIVUz5
152,"A Mí","Rels B",98070,https://open.spotify.com/track/7MmrcXVA7A5zZ2CbDuGHNa
153,"Se Te Nota (with Guaynaa)","Lele Pons",98017,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
154,Locos,"León Larregui",97955,https://open.spotify.com/track/3GSMdtJphymHEsR8K9jT5Q
155,"Bombos y Tarolas","Cartel De Santa",97529,https://open.spotify.com/track/5MyEACD2kRFeh231Z6FkdE
156,Desvelado,"Bobby Pulido",96994,https://open.spotify.com/track/2JJSGhPpATm8lXeYjD95fw
157,"Amor Fugaz","Los Del Limit",96962,https://open.spotify.com/track/4O2bxKTnK9En7OPw8kGDDF
158,"Sencillo Soy","Polo Gonzalez",96936,https://open.spotify.com/track/5XWPoQ2lS8qgaf5aeDwBmh
159,"Dance Monkey","Tones And I",96498,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
160,"HACIENDO QUE ME AMAS","Bad Bunny",96274,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
161,"¿Quién Te Crees?","MC Davo",95847,https://open.spotify.com/track/2LXOSAYiSrTfIf8smheLaz
162,"Somos Los Que Somos - En Vivo","Los 2 de la S",95625,https://open.spotify.com/track/1Z04XN4pH2b8JfdiaIEkl5
163,"Adiós Amor","Christian Nodal",94923,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y
164,Dueles,"Jesse & Joy",94918,https://open.spotify.com/track/1iRvhKiXRElIH2Uf4gd95P
165,"Fuerte No Soy",Intocable,93642,https://open.spotify.com/track/7A07Yu1dRND3RKDzbhKrDs
166,"Sexo Virtual","Rauw Alejandro",93407,https://open.spotify.com/track/0giiXonRhODYy4J1iy4Lb3
167,"Ya Me Enteré","Chayín Rubio",93208,https://open.spotify.com/track/4ggabbjjuHrG06SsYnqvEs
168,"El Amor De Tu Vida","Carin Leon",92582,https://open.spotify.com/track/5HpXH64cSBNu26yhw3vK37
169,"200 COPAS","KAROL G",92319,https://open.spotify.com/track/0aZnyTWJNgdzYoOiaW8HKG
170,Prometiste,"Pepe Aguilar",92111,https://open.spotify.com/track/2UypFzxfaYgMUnQX2k4qtj
