,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
149,Arcade,"Duncan Laurence",45698,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
150,Dior,"Pop Smoke",45674,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
151,"Si tu me vois",Niro,45384,https://open.spotify.com/track/4ABrDs5A2ZY8QANqT53Ghe
152,"Marché noir",SCH,45152,https://open.spotify.com/track/3BDHFeYIrqGpL8HNkuI6zv
153,"À cœur ouvert","Djadja & Dinaz",45100,https://open.spotify.com/track/528qCy2L0itrRPtUW0xFjV
154,"Je kill au mic",Jul,45083,https://open.spotify.com/track/6Dzb3YvstA9jcoRz8Uh94E
155,DÁKITI,"Bad Bunny",44980,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
156,Alicante,Gambino,44877,https://open.spotify.com/track/6LuAw59JilwQieOcFW6vfe
157,"Cosmos - feat. PLK",Rim'K,44723,https://open.spotify.com/track/5hM1Bta5Ej1rRyOXStRIzH
158,"Joli bébé",Naza,44716,https://open.spotify.com/track/1J4oMIhWDUd9cI1urhEyjl
159,"Demeanor (feat. Dua Lipa)","Pop Smoke",44433,https://open.spotify.com/track/3DMs7bahbQTnoxCjgP7qoK
160,Casanova,Were-vana,44327,https://open.spotify.com/track/5xriTc82DdSAGToWcixBKf
161,"Les derniers marioles (feat. SCH)","Soso Maness",44290,https://open.spotify.com/track/3nfSwkMLwFT49PIRDBG6CZ
162,"The Business",Tiësto,43990,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
163,"Rosé jetski playa",Jul,43985,https://open.spotify.com/track/3wX4jboeV9vGgfFjYVdcw8
164,"Tue ça","Koba LaD",43914,https://open.spotify.com/track/7JbCD3He9IjIewMZpjGpK2
165,"Bout A Million (feat. 42 Dugg & 21 Savage)","Pop Smoke",43838,https://open.spotify.com/track/4LaGu95Ui2s4vprSQYWUAZ
166,"Υ. 2 DIAMANTS",Damso,43520,https://open.spotify.com/track/1swQocGVyXMAamWDjNzoLx
167,beau-papa,Vianney,43470,https://open.spotify.com/track/5wXkbtZO1HsOQ1P75zi35p
168,"Kalitada (feat. SLK)",Unité,43422,https://open.spotify.com/track/2B8rIiQqnNeH8NXv9A2rbm
169,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,43386,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
170,"EveryTime I Cry","Ava Max",43292,https://open.spotify.com/track/0mV43B6pJWRjcM5TmzNe6d
171,"Motley Crew","Post Malone",43207,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
172,"Bete de meuf",Noodels,42652,https://open.spotify.com/track/3DhsG2PVqQPyHnzQjaHs87
173,"Avant la douane",Jul,42634,https://open.spotify.com/track/3AwXhQWatI5b1sLIhsnOdP
174,"Trop beau",Lomepal,42171,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM
175,Angela,Hatik,41993,https://open.spotify.com/track/6ab3CQvDlAVttThZucwGQ1
176,Limitless,Jul,41511,https://open.spotify.com/track/4oEEgbiCqUZkqGv7MS3iIX
177,"Grand bain",Dadju,41365,https://open.spotify.com/track/0W4MOQ2kTOm1y7ooahgQP1
178,Kayna,Booba,41313,https://open.spotify.com/track/1DSUiI4i5HBWTvDF721oj4
179,"We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song","Martin Garrix",41281,https://open.spotify.com/track/2iL0W5qi0ivZ9WRXbZ74cS
180,"Vie de star (feat. Ninho)",Leto,41095,https://open.spotify.com/track/7toL2moA2sVueHJKDhVD0n
181,"Elles ont trop joué avec mon cœur",Jok'air,41075,https://open.spotify.com/track/5SqR7dxbJiTSadTaVEhZ04
182,"Θ. Macarena",Damso,41058,https://open.spotify.com/track/2ewjMyCbNv2X1dB2qIDCwD
183,Zipette,Ninho,40905,https://open.spotify.com/track/1Lulg5ZiMEXy3QNwb1PB8I
184,éternel,Hatik,40544,https://open.spotify.com/track/6qA7BY2EsWb5QfUeFzyV7I
185,"More Time","Pop Smoke",40360,https://open.spotify.com/track/2wzionesqIt3x5Sglb4n91
186,"Love Tonight - David Guetta Remix Edit",Shouse,40294,https://open.spotify.com/track/2prnn41CblB8B4yWACDljP
187,911,Damso,40283,https://open.spotify.com/track/2DOc7EJutpU8OrBHV6RABG
188,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",40009,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
189,"Puta Madre (feat. Jul)","Soso Maness",39760,https://open.spotify.com/track/76YbjMIB74nqaSSlmx5zLx
190,"Roses - Imanbek Remix","SAINt JHN",39579,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
191,"Sweet Dreams","Alan Walker",39197,https://open.spotify.com/track/4uDhts78RdwIDjEqPrYVKp
192,"You Right","Doja Cat",39124,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
193,"Avec Toi",OBOY,38698,https://open.spotify.com/track/656vbT8JKkVx7g1yG12L89
194,"Elle m'a dit","Dj Quick",38638,https://open.spotify.com/track/09f02rYzeovvXJ0ubL4X44
195,"Del Mar",Ozuna,38456,https://open.spotify.com/track/5cpJFiNwYyWwFLH0V6B3N8
196,"Je veux",Kamikaz,38407,https://open.spotify.com/track/2FHsE83xbrzzWusudCFpg1
197,"What You Know Bout Love","Pop Smoke",38332,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
198,"ONLY YOU (feat. Dhurata Dora)",GIMS,38328,https://open.spotify.com/track/3QNjxtei6jekNeNJzRbwI6
199,"No Love",Dinos,38191,https://open.spotify.com/track/0sydMl87Twrbrc5CS5Xssi
200,"Permission to Dance",BTS,38134,https://open.spotify.com/track/0LThjFY2iTtNdd4wviwVV2
