,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
182,"Wait a Minute!",WILLOW,208688,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
183,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",208646,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
184,Straightenin,Migos,208311,https://open.spotify.com/track/15EH2glphTjcarRjAsc0EB
185,"The Hills","The Weeknd",208049,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
186,"Misery Business",Paramore,206483,https://open.spotify.com/track/6SpLc7EXZIPpy0sVko0aoU
187,"More Than My Hometown","Morgan Wallen",206377,https://open.spotify.com/track/5OELUCYgOHKFAvCERnAvfS
188,"Materialism as a Means to an End",$uicideboy$,206308,https://open.spotify.com/track/4t2dQ3OQaAJQn52BNszPnY
189,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",205671,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
190,"Chicken Fried","Zac Brown Band",204678,https://open.spotify.com/track/3eBnEo9WL34ulBCZlLpUQO
191,"Ric Flair Drip (& Metro Boomin)",Offset,204258,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
192,"Godzilla (feat. Juice WRLD)",Eminem,203982,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
193,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",203860,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
194,"As the World Caves In","Matt Maltese",202634,https://open.spotify.com/track/3NM41PVVUr0ceootKAtkAj
195,"Brush Em (feat. Rah Swish)","Pop Smoke",202616,https://open.spotify.com/track/3MmvQKMKdN3UhVS3eGzJIW
196,"MIDDLE CHILD","J. Cole",202521,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
197,"Are You Bored Yet? (feat. Clairo)",Wallows,201871,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
198,"Look Who’s Inside Again","Bo Burnham",201646,https://open.spotify.com/track/7d8dqy6GbiUqotcTSs0jXg
199,SAD!,XXXTENTACION,200701,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
200,"lovely (with Khalid)","Billie Eilish",200684,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
